Date,Year,Site_Code,Orchard_Block,Treatment,Section,Distance,Round,Hemiptera,Neuroptera,Coleoptera,Syrphidae,Parasitoids,Araneae,Opiliones,Total_NE,Anthocoridae,Nabidae,Chrysopidae,Hemerobiidae,Carabidae,Coccinellidae,Staphylinidae,Syrphidae,Parasitoid,Araneidae,Clubionidae,Linyphiidae,Lycosidae,Tetragnathidae,Theridiidae,Thomisidae,Leiobunidae,Phalangiidae,Family_richness,Shannon
14/07/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,1,10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,1,10,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,1,10,3,0,0,1,0,3,0,0,4,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0.562335145
31/08/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,1,10,4,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
13/09/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,1,10,5,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0.693147181
14/07/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,2,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,2,29,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,2,29,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
31/08/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,2,29,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0
13/09/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,2,29,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14/07/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,3,48,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,3,48,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,3,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/08/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,3,48,4,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
13/09/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,3,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/07/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,4,67,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,4,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/08/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,4,67,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31/08/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,4,67,4,0,0,0,0,5,1,0,6,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,2,0.450561209
13/09/2017,Year_1,Site_Code_1,Orchard_Block_1,CS,4,67,5,0,0,1,0,3,0,0,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0.562335145
14/07/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/2017,Year_1,Site_Code_1,Orchard_Block_1,SWS,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
