Date,Year,Site_Code,Orchard_Block,Treatment,Section,Distance,Round,Hemiptera,Neuroptera,Coleoptera,Syrphidae,Parasitoids,Araneae,Opiliones,Anystidae,Total_NE,Anthocoridae,Nabidae,Chrysopidae,Hemerobiidae,Carabidae,Coccinellidae,Staphylinidae,Syrphidae,Parasitoid,Araneidae,Dictynidae,Clubionidae,Linyphiidae,Philodromidae,Salticidae,Tetragnathidae,Theridiidae,Thomisidae,Leiobunidae,Phalangiidae,Anystidae,Family_richness,Shannon
21/05/2017,Year_1,Site_1,Orchard_Block_1,CS,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2017,Year_1,Site_1,Orchard_Block_1,CS,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/06/2017,Year_1,Site_1,Orchard_Block_1,CS,1,10,3,0,0,0,0,0,0,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0.410116318
27/06/2017,Year_1,Site_1,Orchard_Block_1,CS,1,10,4,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0.693147181
5/7/2017,Year_1,Site_1,Orchard_Block_1,CS,1,10,5,1,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1.098612289
23/07/2017,Year_1,Site_1,Orchard_Block_1,CS,1,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/8/2017,Year_1,Site_1,Orchard_Block_1,CS,1,10,7,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
23/08/2017,Year_1,Site_1,Orchard_Block_1,CS,1,10,8,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
6/9/2017,Year_1,Site_1,Orchard_Block_1,CS,1,10,9,0,0,0,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0.562335145
19/09/2017,Year_1,Site_1,Orchard_Block_1,CS,1,10,10,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
3/10/2017,Year_1,Site_1,Orchard_Block_1,CS,1,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/05/2017,Year_1,Site_1,Orchard_Block_1,CS,2,29,1,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
1/6/2017,Year_1,Site_1,Orchard_Block_1,CS,2,29,2,1,0,0,1,0,0,1,5,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1.073542846
14/06/2017,Year_1,Site_1,Orchard_Block_1,CS,2,29,3,0,0,0,0,0,0,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0.376770161
27/06/2017,Year_1,Site_1,Orchard_Block_1,CS,2,29,4,0,0,0,1,0,1,0,6,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,3,0.73562194
5/7/2017,Year_1,Site_1,Orchard_Block_1,CS,2,29,5,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.693147181
23/07/2017,Year_1,Site_1,Orchard_Block_1,CS,2,29,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
10/8/2017,Year_1,Site_1,Orchard_Block_1,CS,2,29,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
23/08/2017,Year_1,Site_1,Orchard_Block_1,CS,2,29,8,2,0,0,0,0,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.636514168
6/9/2017,Year_1,Site_1,Orchard_Block_1,CS,2,29,9,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.693147181
19/09/2017,Year_1,Site_1,Orchard_Block_1,CS,2,29,10,1,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.500402424
