Date_of_deployment,Year,Trial,Month,Site_Code,Orchard_Code,Alleyway_Treatment,Distance,Aphids_glued,Aphids_covered_in_glue,Aphids_available,Aphids_remaining_Day_1,Aphids_remaining_Day_2,Aphids_remaining_Day_3,Aphids_remaining_Day_4,Aphids_remaining_Day_5,Percentage_of_depletion_Day_1,Percentage_of_depletion_Day_2,Percentage_of_depletion_Day_3,Percentage_of_depletion_Day_4,Percentage_of_depletion_Day_5
22/06/2019,2019,1,June,Site_1,Orchard_1,CS,5,10,1,9,9,9,9,9,9,0,0,0,0,0
22/06/2019,2019,1,June,Site_1,Orchard_1,CS,14,10,,10,10,10,10,10,10,0,0,0,0,0
22/06/2019,2019,1,June,Site_1,Orchard_1,CS,24,10,,10,9,9,9,9,9,10,10,10,10,10
22/06/2019,2019,1,June,Site_1,Orchard_1,CS,33,10,,10,8,8,8,8,8,20,20,20,20,20
22/06/2019,2019,1,June,Site_1,Orchard_1,CS,43,10,,10,9,9,9,9,9,10,10,10,10,10
22/06/2019,2019,1,June,Site_1,Orchard_1,CS,52,10,1,9,9,9,9,9,9,0,0,0,0,0
22/06/2019,2019,1,June,Site_1,Orchard_1,CS,62,10,,10,10,10,9,9,9,0,0,10,10,10
22/06/2019,2019,1,June,Site_1,Orchard_1,CS,71,10,1,9,9,9,9,9,9,0,0,0,0,0
22/06/2019,2019,1,June,Site_1,Orchard_1,SWS,5,10,,10,10,10,10,10,10,0,0,0,0,0
22/06/2019,2019,1,June,Site_1,Orchard_1,SWS,14,10,,10,10,10,10,10,10,0,0,0,0,0
22/06/2019,2019,1,June,Site_1,Orchard_1,SWS,24,10,,10,9,9,9,9,9,10,10,10,10,10
22/06/2019,2019,1,June,Site_1,Orchard_1,SWS,33,10,,10,10,6,6,6,6,0,40,40,40,40
22/06/2019,2019,1,June,Site_1,Orchard_1,SWS,43,10,1,9,9,9,9,9,9,0,0,0,0,0
22/06/2019,2019,1,June,Site_1,Orchard_1,SWS,52,10,,10,10,8,8,8,8,0,20,20,20,20
