Year,Year_num,Site_Code,Orchard_Block,Alleyway_treatment,Distance,Section,Total,Richness,Shannon,Honeybee,Buff_tailed_bumblebee,Bumblebee,Solitary_bee,Hoverfly,Blossoms,Fruit_set,Percentage_Fruit_set,Fresh_mass,Height,Width,Length,Firmness,Dry_Matter
Year_1,2017,Site_1,Orchard_Block_1,AMWS,9.5,Section 0-19,1.203703704,0.777777778,0.124648408,0.111111111,0.722222222,0.37037037,0,0,,9.5,,12.16736842,29.4,29.66842105,25.17894737,64.26315789,1.717368421
Year_1,2017,Site_1,Orchard_Block_1,AMWS,28.5,Section 19-38,0.685185185,0.5,0.023574599,0.037037037,0.481481481,0.148148148,0,0.018518519,,10,,12.727,28.4,30.15,26.085,62.3,1.909
Year_1,2017,Site_1,Orchard_Block_1,AMWS,47.5,Section 38-57,0.814814815,0.574074074,0.074918834,0.018518519,0.62962963,0.166666667,0,0,,9,,14.32777778,30.55555556,31.26666667,26.85,63.55555556,2.001111111
Year_1,2017,Site_1,Orchard_Block_1,AMWS,66.5,Section 57-76,0.703703704,0.425925926,0.033663287,0.037037037,0.555555556,0.111111111,0,0,,9.5,,12.37894737,29.57368421,29.72631579,25.64736842,72.15789474,1.609473684
Year_1,2017,Site_1,Orchard_Block_1,CS,9.5,Section 0-19,1.037037037,0.703703704,0.111770525,0.092592593,0.592592593,0.296296296,0,0.055555556,,10,,10.9455,28.225,28.735,24.94,58,1.2865
Year_1,2017,Site_1,Orchard_Block_1,CS,28.5,Section 19-38,0.888888889,0.611111111,0.087382013,0.092592593,0.555555556,0.240740741,0,0,,9,,11.40444444,26.68333333,29.15,24.87222222,60.88888889,1.556111111
Year_1,2017,Site_1,Orchard_Block_1,CS,47.5,Section 38-57,0.87037037,0.518518519,0.031433142,0.12962963,0.592592593,0.12962963,0,0.018518519,,10,,10.835,27.56,28.525,24.64,56.45,1.445
Year_1,2017,Site_1,Orchard_Block_1,CS,66.5,Section 57-76,1.148148148,0.611111111,0.086310696,0.185185185,0.888888889,0.074074074,0,0,,9.5,,13.53157895,30.13684211,30.55263158,26.43157895,69.63157895,1.860526316
Year_1,2017,Site_1,Orchard_Block_1,SWS,9.5,Section 0-19,1.111111111,0.722222222,0.120271278,0.037037037,0.796296296,0.259259259,0.018518519,0,,10,,12.776,29.875,29.74,25.58,70.25,1.6905
Year_1,2017,Site_1,Orchard_Block_1,SWS,28.5,Section 19-38,0.611111111,0.481481481,0.023574599,0,0.407407407,0.185185185,0,0.018518519,,9.5,,13.41157895,29.99473684,30.65263158,26.89473684,73.26315789,1.983684211
Year_1,2017,Site_1,Orchard_Block_1,SWS,47.5,Section 38-57,0.851851852,0.555555556,0.04903307,0.037037037,0.740740741,0.055555556,0,0.018518519,,9,,11.44166667,28.47222222,28.76666667,25.06666667,60.44444444,1.438333333
Year_1,2017,Site_1,Orchard_Block_1,SWS,66.5,Section 57-76,0.796296296,0.5,0.038135297,0.018518519,0.648148148,0.111111111,0,0.018518519,,10,,12.7515,29.825,30.25,26.085,61.05,1.6405
Year_1,2017,Site_1,Orchard_Block_2,AMWS,9.5,Section 0-19,1.259259259,0.740740741,0.145214036,0.277777778,0.759259259,0.203703704,0.018518519,0,,9.5,,10.67842105,27.51578947,28.02105263,24.73157895,67.89473684,1.316315789
Year_1,2017,Site_1,Orchard_Block_2,AMWS,28.5,Section 19-38,0.925925926,0.611111111,0.116814869,0.12962963,0.648148148,0.092592593,0.037037037,0.018518519,,9.5,,11.31736842,28.62105263,28.53157895,24.87894737,68.47368421,1.491052632
Year_1,2017,Site_1,Orchard_Block_2,AMWS,47.5,Section 38-57,1.148148148,0.759259259,0.111898483,0.166666667,0.851851852,0.12962963,0,0,,10,,12.0315,29.21,29.86,25.5,67.45,1.5535
Year_1,2017,Site_1,Orchard_Block_2,AMWS,66.5,Section 57-76,1.074074074,0.555555556,0.01875734,0.018518519,1,0.055555556,0,0,,9.5,,12.22105263,29.18947368,29.64736842,25.71578947,59.05263158,1.522105263
Year_1,2017,Site_1,Orchard_Block_2,CS,9.5,Section 0-19,1.166666667,0.62962963,0.096184375,0.444444444,0.611111111,0.074074074,0.018518519,0.018518519,,9.5,,11.21473684,28.13684211,28.68947368,25.35789474,63,1.636842105
Year_1,2017,Site_1,Orchard_Block_2,CS,28.5,Section 19-38,1.148148148,0.611111111,0.079665582,0.092592593,0.925925926,0.12962963,0,0,,10,,11.695,29.095,29.57,25.35,71.35,1.444
Year_1,2017,Site_1,Orchard_Block_2,CS,47.5,Section 38-57,0.685185185,0.462962963,0.021179785,0,0.592592593,0.074074074,0,0.018518519,,9,,12.75,29.52222222,30.31666667,25.67222222,63.16666667,1.638888889
Year_1,2017,Site_1,Orchard_Block_2,CS,66.5,Section 57-76,0.851851852,0.5,0.032218105,0,0.759259259,0.074074074,0,0.018518519,,9.5,,12.10789474,29.10526316,29.64736842,25.87368421,63.36842105,1.609473684
Year_1,2017,Site_1,Orchard_Block_2,SWS,9.5,Section 0-19,1.185185185,0.777777778,0.112701546,0.314814815,0.685185185,0.12962963,0.037037037,0.018518519,,10,,11.778,29.145,28.78,25.405,76.95,1.5435
Year_1,2017,Site_1,Orchard_Block_2,SWS,28.5,Section 19-38,1.12962963,0.648148148,0.080297575,0.166666667,0.777777778,0.166666667,0.018518519,0,,8.5,,9.93,25.72941176,28.02352941,24.6,61.76470588,1.304117647
Year_1,2017,Site_1,Orchard_Block_2,SWS,47.5,Section 38-57,0.62962963,0.481481481,0.032090147,0.074074074,0.425925926,0.111111111,0.018518519,0,,10,,12.2255,29.81,29.3,25.655,65.25,1.6095
Year_1,2017,Site_1,Orchard_Block_2,SWS,66.5,Section 57-76,0.740740741,0.481481481,0.043877447,0.092592593,0.611111111,0.037037037,0,0,,10,,12.1275,28.96,29.72,25.33,61.1,1.617
