Year,Fruit_Number,Fruit_ID,Site_Code,Orchard_Block,Alleyway_Treatment,Section ,Tree_code,Distance,Fresh_mass,Height,Width,Length,Firmness,Dry_Matter
Year_1,1,1,Site_1,Orchard_Block_1,CS,1,1,4.8,9.66,26.4,27.7,23,80,1.42
Year_1,2,2,Site_1,Orchard_Block_1,CS,1,1,4.8,10.74,28.5,28.3,24.7,51,1.21
Year_1,3,3,Site_1,Orchard_Block_1,CS,1,1,4.8,11.43,28.3,28.4,24.3,53,1.38
Year_1,4,4,Site_1,Orchard_Block_1,CS,1,1,4.8,10.87,28.3,29.1,25.8,54,1.18
Year_1,5,5,Site_1,Orchard_Block_1,CS,1,1,4.8,12.07,28.9,30.4,24.3,75,1.4
Year_1,6,6,Site_1,Orchard_Block_1,CS,1,1,4.8,10.7,28.1,28.6,25.7,76,1.67
Year_1,7,7,Site_1,Orchard_Block_1,CS,1,1,4.8,10.32,28,27.5,24.3,51,1.11
Year_1,8,8,Site_1,Orchard_Block_1,CS,1,1,4.8,9.65,27,27.6,23.4,56,0.99
Year_1,9,9,Site_1,Orchard_Block_1,CS,1,1,4.8,10.38,27.9,28.2,24.9,58,1.2
Year_1,10,10,Site_1,Orchard_Block_1,CS,1,1,4.8,9.17,26.8,27.4,23.7,79,1.13
Year_1,1,14,Site_1,Orchard_Block_1,CS,1,2,14.3,12.76,29,30.6,26,48,1.5
Year_1,2,15,Site_1,Orchard_Block_1,CS,1,2,14.3,12.43,29.1,30.4,26.6,52,1.51
Year_1,3,16,Site_1,Orchard_Block_1,CS,1,2,14.3,11.69,28.6,29.8,25.8,50,1.32
Year_1,4,17,Site_1,Orchard_Block_1,CS,1,2,14.3,10.77,28,28.6,25.5,52,1.22
Year_1,5,18,Site_1,Orchard_Block_1,CS,1,2,14.3,10.63,28.9,27.6,25.3,53,1.08
Year_1,6,19,Site_1,Orchard_Block_1,CS,1,2,14.3,10.38,28.4,28.8,24.1,49,1.05
Year_1,7,20,Site_1,Orchard_Block_1,CS,1,2,14.3,10.58,28,28.5,24.4,51,1.19
Year_1,8,21,Site_1,Orchard_Block_1,CS,1,2,14.3,12.74,30.1,29.9,26.3,63,1.55
Year_1,9,22,Site_1,Orchard_Block_1,CS,1,2,14.3,10.64,27.5,28.6,25.2,51,1.27
Year_1,10,23,Site_1,Orchard_Block_1,CS,1,2,14.3,11.3,28.7,28.7,25.5,58,1.35
Year_1,1,27,Site_1,Orchard_Block_1,CS,2,3,23.8,9.95,24.1,28,23.9,79,1.59
Year_1,2,28,Site_1,Orchard_Block_1,CS,2,3,23.8,9.57,24.6,28.3,23.7,47,1.32
Year_1,3,29,Site_1,Orchard_Block_1,CS,2,3,23.8,9.94,25.1,28,23.8,49,1.15
Year_1,4,30,Site_1,Orchard_Block_1,CS,2,3,23.8,7.89,23.3,25.1,23.3,53,1.04
Year_1,5,31,Site_1,Orchard_Block_1,CS,2,3,23.8,8.75,25.6,26.6,22.9,50,0.98
